test_labels,y_predict
1.0,2.5610225447322943
1.0,2.5610225447322943
2.0,10.997411670173914
0.0,2.5610225447322943
3.0,2.5610225447322943
2.0,3.432505744160264
1.0,2.5610225447322943
3.0,10.997411670173914
2.0,2.5610225447322943
8.0,2.5610225447322943
2.0,2.5610225447322943
1.0,5.745695600553011
3.0,2.5610225447322943
1.75,2.5610225447322943
1.0,4.836060070306923
1.0,2.5610225447322943
1.0,2.5610225447322943
1.0,3.432505744160264
1.0,2.5610225447322943
3.0,2.5610225447322943
2.0,2.5610225447322943
2.0,2.5610225447322943
1.0,2.5610225447322943
1.0,3.9645768708789535
1.0,4.836060070306923
2.0,2.5610225447322943
19.0,10.997411670173914
3.0,2.5610225447322943
2.0,2.5610225447322943
1.0,3.9645768708789535
1.0,2.5610225447322943
1.0,2.5610225447322943
1.0,10.997411670173914
3.5,2.5610225447322943
2.0,2.5610225447322943
0.0,4.836060070306923
4.75,2.5610225447322943
1.0,2.5610225447322943
1.0,2.5610225447322943
2.0,4.836060070306923
12.0,7.697958273239173
1.0,3.9645768708789535
2.0,2.5610225447322943
10.0,6.294403947092515
2.0,7.149249926699671
0.0,9.593857344027256
6.0,2.5610225447322943
1.0,2.5610225447322943
1.0,2.5610225447322943
2.0,2.5610225447322943
1.0,2.930445228746563
4.0,2.5610225447322943
3.0,2.5610225447322943
1.0,4.836060070306923
2.0,3.432505744160264
4.0,2.5610225447322943
0.0,4.836060070306923
1.0,3.432505744160264
2.0,2.5610225447322943
1.0,2.5610225447322943
1.0,2.5610225447322943
15.0,3.432505744160264
1.0,2.5610225447322943
4.0,3.432505744160264
1.0,2.5610225447322943
1.0,2.5610225447322943
1.0,2.5610225447322943
1.0,2.5610225447322943
0.0,3.432505744160264
0.0,4.836060070306923
1.0,2.5610225447322943
1.0,2.930445228746563
2.0,3.432505744160264
1.0,2.5610225447322943
2.0,4.836060070306923
2.0,4.333999554893222
0.0,2.5610225447322943
2.0,2.5610225447322943
1.0,2.5610225447322943
2.0,2.5610225447322943
1.0,4.333999554893222
2.0,2.5610225447322943
2.0,2.5610225447322943
1.0,2.5610225447322943
0.0,2.5610225447322943
3.0,2.5610225447322943
4.0,2.5610225447322943
2.0,2.5610225447322943
1.0,2.5610225447322943
24.0,7.149249926699671
1.0,2.5610225447322943
6.5,2.5610225447322943
69.0,2.5610225447322943
1.0,2.5610225447322943
5.0,2.930445228746563
2.0,4.836060070306923
1.0,2.5610225447322943
1.0,2.5610225447322943
1.0,2.5610225447322943
10.333333333333334,2.5610225447322943
1.0,2.5610225447322943
18.0,10.997411670173914
3.0,2.5610225447322943
1.0,2.5610225447322943
1.0,4.836060070306923
1.0,2.5610225447322943
5.0,2.5610225447322943
1.0,2.5610225447322943
1.0,2.5610225447322943
