test_labels,predictions
1.0,-1.7096545
4.0,-1.7175983
2.0,-1.341975
3.0,-1.327283
1.0,-1.733316
1.0,-0.65692633
1.0,2.3036175
1.0,-1.2858559
2.5,-1.744082
1.0,-1.6694571
1.0,-1.7489871
1.0,-1.5026231
3.0,2.4423332
1.0,-1.0998353
1.0,-1.7331579
1.0,-0.7239199
1.0,-1.6955981
1.0,1.4082075
2.0,-0.92358893
1.0,-1.6313289
3.0,-0.92756504
9.0,1.7105383
6.0,-1.3755858
2.0,-1.7294042
3.0,-0.7189955
1.0,-1.5630703
1.0,-1.0790126
2.0,-1.729321
69.0,0.99685663
1.0,-1.6158733
1.0,-1.62238
1.0,-1.7509675
1.0,4.591688
1.0,-1.6735088
18.0,0.27547216
1.0,1.7683884
18.0,0.6619274
1.0,2.1817632
2.0,1.3152092
2.0,-1.4629518
1.0,0.14055423
1.0,-0.34985957
1.0,1.3399862
1.0,-1.6162059
0.0,-1.7046361
1.0,2.6034353
28.0,3.242698
6.0,-0.53736305
2.0,1.3350046
2.0,2.4430757
1.0,-1.6962489
1.0,-1.6748959
1.0,2.951569
0.5,-1.5266395
5.0,-1.7449971
0.0,-1.6840988
3.0,-0.38109648
1.0,5.1402116
12.0,-0.9495022
1.0,-1.6723431
1.0,-1.6939721
21.0,0.2812573
1.0,-1.6991371
2.0,3.2797704
1.0,-1.6996322
12.0,0.4852509
0.0,-1.2964658
0.0,-0.8160735
1.0,-1.268294
1.0,-1.4371312
1.0,-1.7042001
1.0,0.14715959
4.0,-1.7343353
3.0,0.9195747
9.0,5.282166
4.75,-1.5940583
0.0,-0.7261955
1.0,-1.1743493
1.0,-0.80774176
1.0,-1.6429313
6.0,1.675345
2.0,0.96285117
3.0,-1.4653974
1.0,2.5485272
2.0,-0.39775968
1.0,-0.9924405
2.0,-0.45456275
7.0,0.07790828
2.0,0.46751758
1.0,-0.59501624
1.0,-1.6641364
1.0,-1.4412951
3.0,-0.78919536
7.5,0.65648794
1.0,1.2421263
1.0,-1.7105428
1.0,-1.722341
2.0,-1.6536989
1.0,-1.7098268
6.5,2.1155531
1.0,-1.5795454
3.0,3.4700322
2.0,-1.7333728
1.0,0.8626922
1.0,-1.7284373
1.0,-1.7467824
3.0,-1.4405224
0.0,-0.55385935
1.0,-1.7391396
3.0,-1.0531465
1.0,-1.433858
2.0,-1.6379107
2.0,0.0115716765
0.0,-1.7503575
1.0,0.15805463
0.0,-1.733376
9.0,-1.481906
1.0,-1.7215161
1.0,-1.6005406
0.0,-1.4756578
1.0,-1.739266
6.0,-1.7355218
1.0,2.9674287
4.0,-1.5819063
2.0,-1.0447117
12.0,0.40471956
1.0,25.277365
4.0,0.18374722
1.0,-1.6296299
1.0,-1.7111645
1.0,-1.0415579
1.0,-1.1025838
1.0,-0.9350981
0.0,-1.6445571
1.0,-1.2384057
9.0,4.658476
1.0,-0.061519586
3.0,-1.637253
15.0,0.31518957
1.0,-1.592468
2.0,-0.78812104
1.0,-1.6656599
1.0,2.003865
1.0,-1.2784127
5.0,0.4615381
4.0,-1.7358224
1.0,-1.7541269
2.0,-1.7267112
1.0,-1.723053
3.0,-0.033861917
0.0,-1.4243006
6.0,2.2825773
3.0,1.8907864
1.0,-1.7359598
0.0,-1.4138937
2.0,-0.18534961
1.0,2.2362587
4.0,2.8506284
12.0,1.2480533
0.0,-1.6259739
1.0,-0.763557
1.0,-1.7553355
1.0,-1.7307891
0.0,-1.5673064
0.0,-1.7022443
0.0,-1.1472647
4.0,0.6098511
0.0,-1.7449716
1.0,-1.2114636
3.0,-1.7146881
1.0,-1.714775
1.3333334,-1.7358451
1.0,-1.4588782
1.8,-1.5780634
2.0,2.2491753
2.0,1.7514802
30.0,5.7408414
6.0,-1.1138716
2.0,-1.7026721
1.5,-1.7146015
1.0,-1.1013036
1.0,-1.71865
1.0,-1.2579592
1.0,-1.751983
10.333333,-1.7425388
0.0,-1.4887911
3.0,0.52210534
4.0,1.850635
3.0,-1.1595951
